stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopArea:ABDU,"Abel Durand",,47.22015730,-1.60339246,,,1,,
StopArea:ABLA,"Avenue Blanche",,47.22973100,-1.58942059,,,1,,
StopArea:ACHA,"Angle Chaillou",,47.26977722,-1.57185211,,,1,,
StopArea:ADBO,"Audubon",,47.21401606,-1.72323592,,,1,,
StopArea:ADEL,"Aimé Delrue",,47.20897359,-1.55010672,,,1,,
StopArea:ADPI,"Avenue des Pins",,47.25326073,-1.59670445,,,1,,
StopArea:AECL,"Aéroclub",,47.15936441,-1.59799574,,,1,,
StopArea:AEPO,"Aéroport",,47.15770237,-1.59655315,,,1,,
StopArea:AESP,"Aérospatiale",,47.16078877,-1.58793208,,,1,,
StopArea:AFRA,"Anatole France",,47.22393027,-1.57193969,,,1,,
StopArea:AGBE,"L'Angebert",,47.14072927,-1.45551818,,,1,,
StopArea:AGVI,"Angevinière",,47.24529886,-1.61093247,,,1,,
StopArea:AIBU,"Airbus",,47.15869537,-1.59121199,,,1,,
StopArea:AIGU,"Aiguillon",,47.25445925,-1.49691883,,,1,,
StopArea:ALDE,"Allende",,47.17525341,-1.62320432,,,1,,
StopArea:ALNE,"Aulne",,47.27633116,-1.63837020,,,1,,
StopArea:ALOT,"Allouettes",,47.20157324,-1.60162773,,,1,,
StopArea:AMCA,"Armoricaine",,47.25827307,-1.64747915,,,1,,
StopArea:AMER,"Américains",,47.23612591,-1.56820260,,,1,,
StopArea:AMOR,"Ar Mor",,47.22801889,-1.62367286,,,1,,
StopArea:AMPE,"Ampère",,47.26077064,-1.55320077,,,1,,
StopArea:ANGE,"Les Anges",,47.27520418,-1.63709529,,,1,,
StopArea:ANTO,"Antons",,47.25768995,-1.62256356,,,1,,
StopArea:APAV,"Apave",,47.22539488,-1.64754241,,,1,,
StopArea:APER,"Ampère",,47.30227711,-1.50789738,,,1,,
StopArea:APRE,"Ambroise Paré",,47.22907805,-1.60854526,,,1,,
StopArea:AQUI,"Aquitaine",,47.20985471,-1.61492638,,,1,,
StopArea:ARAG,"Arago",,47.30346079,-1.50480495,,,1,,
StopArea:ARBO,"Arbois",,47.25861086,-1.58188396,,,1,,
StopArea:ARCA,"Arcades",,47.21179426,-1.65274239,,,1,,
StopArea:ARGO,"Argonautes",,47.30242198,-1.48182549,,,1,,
StopArea:ARMO,"Armorique",,47.27147205,-1.44534382,,,1,,
StopArea:ATAR,"Antarès",,47.28171763,-1.45970027,,,1,,
StopArea:AUCP,"La Chapelle Aulnay",,47.30838347,-1.54342688,,,1,,
StopArea:AUFR,"L'Aufrère",,47.16804829,-1.52507017,,,1,,
StopArea:AUGE,"Augé",,47.19496578,-1.51736648,,,1,,
StopArea:AVEN,"Aveneaux",,47.23365905,-1.62990901,,,1,,
StopArea:BABI,"Barbinière",,47.15958402,-1.48180920,,,1,,
StopArea:BAGA,"Bagatelle",,47.24345501,-1.62005467,,,1,,
StopArea:BAIE,"Babinière",,47.25920497,-1.54620749,,,1,,
StopArea:BAIR,"Bel Air",,47.22544151,-1.55922545,,,1,,
StopArea:BALI,"Balinière",,47.18449776,-1.55448602,,,1,,
StopArea:BANS,"Bois des Anses",,47.24660522,-1.49476863,,,1,,
StopArea:BARR,"La Barre",,47.30844177,-1.38295034,,,1,,
StopArea:BAST,"Bastille",,47.17938648,-1.59722149,,,1,,
StopArea:BATI,"Batignolles",,47.25552751,-1.52966934,,,1,,
StopArea:BAUG,"Baugerie",,47.20349417,-1.52088809,,,1,,
StopArea:BAVO,"Basse Orévière",,47.22040673,-1.65893741,,,1,,
StopArea:BBAU,"Bd C.Gautier",,47.22151772,-1.60838431,,,1,,
StopArea:BBON,"Boisbonne",,47.28686058,-1.50837641,,,1,,
StopArea:BCDI,"Boucardière",,47.20067055,-1.59905036,,,1,,
StopArea:BCES,"Bois Cesbron",,47.26113484,-1.62453869,,,1,,
StopArea:BCHE,"Basse Chênaie",,47.24101394,-1.50851837,,,1,,
StopArea:BCOI,"Branchoire",,47.21782589,-1.60308856,,,1,,
StopArea:BCTT,"Blanchet",,47.17166881,-1.54329386,,,1,,
StopArea:BDAN,"Bd des Anglais",,47.22670758,-1.58298444,,,1,,
StopArea:BDEL,"Baudelaire",,47.23365711,-1.59314693,,,1,,
StopArea:BDIN,"Bodinières",,47.21000731,-1.64190242,,,1,,
StopArea:BDLA,"Bout des Landes",,47.26744242,-1.58226680,,,1,,
StopArea:BDNN,"Bourdonnais",,47.20555361,-1.57998111,,,1,,
StopArea:BDOU,"Bd de Doulon",,47.22471463,-1.51977553,,,1,,
StopArea:BDPA,"Bout des Pavés",,47.25269421,-1.57629132,,,1,,
StopArea:BDRI,"Bourderies",,47.20663194,-1.59592025,,,1,,
StopArea:BDSP,"Bd des Sports",,47.16589107,-1.46812862,,,1,,
StopArea:BDUC,"Bourgault-Ducoudray",,47.20246519,-1.54883051,,,1,,
StopArea:BEDR,"Bel endroit",,47.15470661,-1.63396536,,,1,,
StopArea:BEGE,"Beauger",,47.23429829,-1.55299443,,,1,,
StopArea:BEHI,"Béhinière",,47.19701789,-1.79093353,,,1,,
StopArea:BEIL,"Beillevaire",,47.24938735,-1.60726607,,,1,,
StopArea:DPBL,"Le Bêle",,47.26472929,-1.51035666,,,1,,
StopArea:BELM,"Belges-Montbazon",,47.23461282,-1.54098400,,,1,,
StopArea:BENA,"Beaulieu",,47.20394287,-1.53704358,,,1,,
StopArea:BEOC,"Belloc",,47.20374088,-1.61460707,,,1,,
StopArea:BESS,"Bessonneau",,47.21462890,-1.71349968,,,1,,
